M00001,P00001,bamnat,ดีมาก ๆ,01-09-2021 09:58:33,5,true
M00002,P00020,ploy,สุดยอด,01-09-2021 09:58:53,5,true
M00003,P00014,moss,ดีมาก ๆ,01-09-2021 10:58:33,5,true
M00004,P00009,nax,สุดยอด,01-09-2021 11:58:53,5,true
M00005,P00041,nax,ดีมาก ๆ,02-09-2021 12:58:33,5,true
M00006,P00012,moss,สุดยอด,03-09-2021 09:58:53,5,true
M00007,P00023,ploy,ดีมาก ๆ,03-09-2021 10:58:33,5,true
M00008,P00020,somsri422r,สุดยอด,05-09-2021 17:58:53,5,true
M00009,P00011,pimrypie,ดีมาก ๆ,05-09-2021 08:58:33,5,true
M00010,P00003,bamnat,สุดยอด,05-09-2021 02:58:53,5,true
M00011,P00006,nax,ดีมาก ๆ,08-09-2021 05:58:33,5,true
M00012,P00015,ploy,สุดยอด,08-09-2021 10:58:53,5,true
M00013,P00012,moss,ดีมาก ๆ,09-09-2021 10:58:33,5,true
M00014,P00011,pimrypie,สุดยอด,10-09-2021 15:58:53,5,true
M00015,P00008,somsri422r,ดีมาก ๆ,14-09-2021 18:58:33,5,true
M00016,P00004,moss,สุดยอด,15-09-2021 23:58:53,5,true
M00017,P00007,nax,ดีมาก ๆ,15-09-2021 08:58:33,5,true
M00018,P00025,ploy,สุดยอด,17-09-2021 11:58:53,5,true
M00019,P00039,bamnat,ดีมาก ๆ,01-10-2021 12:58:33,5,true
M00020,P00037,somsri422r,สุดยอด,04-10-2021 14:58:53,5,true
M00021,P00031,pimrypie,ดีมาก ๆ,04-10-2021 13:58:33,5,true
M00022,P00029,ploy,สุดยอด,04-10-2021 16:58:53,5,true
M00023,P00010,moss,ดีมาก ๆ,04-10-2021 18:58:33,5,true
M00024,P00016,bamnat,สุดยอด,05-10-2021 19:58:53,5,true
M00025,P00029,nax,ดีมาก ๆ,05-10-2021 22:22:33,5,true
M00026,P00027,pimrypie,สุดยอด,06-10-2021 11:58:53,5,true
M00027,P00039,nax,ดีมาก ๆ,08-10-2021 20:58:33,5,true
M00028,P00010,ploy,สุดยอด,09-10-2021 23:58:53,5,true
M00029,P00028,bamnat,ดีมาก ๆ,09-10-2021 04:58:33,5,true
M00030,P00037,somsri422r,สุดยอด,10-10-2021 06:58:53,5,true
M00031,P00031,ploy,ดีมาก ๆ,11-10-2021 09:58:33,5,true
M00032,P00032,moss,สุดยอด,11-10-2021 12:58:53,5,true
M00033,P00034,pimrypie,ดีมาก ๆ,12-10-2021 04:58:33,5,true
M00034,P00023,moss,สุดยอด,15-10-2021 15:58:53,5,true
M00035,P00022,ploy,ดีมาก ๆ,17-10-2021 09:58:33,5,true
M00036,P00024,nax,สุดยอด,18-10-2021 16:58:53,5,true
M00037,P00002,somsri422r,ส่งเมื่อไหร่คะ,21-10-2021 15:18:22,4,true
M00038,P00004,somsri422r,สวยมากค่ะ,21-10-2021 15:18:35,5,true
M00039,P00007,somsri422r,แบล็กพิ้งอินยัวแอเรียย้ะ,21-10-2021 15:18:59,5,true
M00040,P00008,somsri422r,สวยมาก แต่แพง,21-10-2021 15:19:15,3,true
M00041,P00011,somsri422r,น่ารักมาก,21-10-2021 15:19:34,4,true
M00042,P00016,somsri422r,สวย,21-10-2021 15:19:49,4,true
M00043,P00045,somsri422r,ใช้แล้วติดกระทะไหมคะ,21-10-2021 15:20:02,4,true
M00044,P00044,somsri422r,อร่อยมาก กินวันเดียวหมดถุงเลย,21-10-2021 15:20:21,5,true
M00045,P00043,somsri422r,ซื้อให้แม่ แม่บอกว่าดี,21-10-2021 15:20:39,5,true
M00046,P00041,somsri422r,น่ารักมาก,21-10-2021 15:20:49,5,true
M00047,P00028,somsri422r,นั่งแล้วเจ็บตูด,21-10-2021 15:21:07,2,true
M00048,P00015,somsri422r,น่ารักมาก,21-10-2021 15:21:32,5,true
M00049,P00030,somsri422r,สวยมาก,21-10-2021 15:21:46,5,true
M00050,P00045,bamnat,150 ถูกมาก!,21-10-2021 15:22:33,5,true
M00051,P00044,bamnat,อร่อย แต่เผ็ดไปหน่อย,21-10-2021 15:22:54,4,true
M00052,P00043,bamnat,ดีมาก เอาไว้ทอดปลา,21-10-2021 15:23:13,5,true
M00053,P00040,bamnat,ส่งของได้วันไหน,21-10-2021 15:23:44,4,true
M00054,P00031,bamnat,สนุกมาก,21-10-2021 15:23:59,5,true
M00055,P00029,bamnat,สวยมาก,21-10-2021 15:24:15,4,true
M00056,P00028,bamnat,ใช้ดีมาก นั่งสบาย,21-10-2021 15:24:30,5,true
M00057,P00026,bamnat,เมื่อไหร่เคอรี่มาส่ง,21-10-2021 15:25:00,3,true
M00058,P00007,bamnat,สวยมากกกก,21-10-2021 15:25:13,5,true
M00059,P00008,bamnat,ใส่แล้วสวยมาก,21-10-2021 15:25:53,5,true
M00060,P00017,bamnat,ใช้แล้ว ดีมาก,21-10-2021 15:26:08,5,true
M00061,P00014,bamnat,คุณภาพดี,21-10-2021 15:26:22,4,true
M00062,P00009,bamnat,แบตอยู่ไม่ค่อยนาน,21-10-2021 15:26:43,3,true
M00063,P00045,ploy,ดีมาก,21-10-2021 15:27:35,5,true
M00064,P00044,ploy,อร่อยมาก,21-10-2021 15:27:45,5,true
M00065,P00042,ploy,หวานมาก,21-10-2021 15:28:19,5,true
M00066,P00041,ploy,น่ารักมากกก,21-10-2021 15:28:28,5,true
M00067,P00001,ploy,เพลงดือมาก,21-10-2021 15:29:52,5,true
M00068,P00002,ploy,ได้มาแล้ว สวยมาก,21-10-2021 15:30:27,5,true
M00069,P00003,ploy,ชอบ,21-10-2021 15:30:39,5,true
M00070,P00005,ploy,เมื่อไหร่ได้ของคะ,21-10-2021 15:31:20,3,true
M00071,P00040,moss,สนุกมาก,21-10-2021 15:32:20,5,true
M00072,P00037,moss,สนุกมาก,21-10-2021 15:32:32,5,true
M00073,P00033,moss,สนุกมาก,21-10-2021 15:32:50,5,true
M00074,P00038,moss,ดีมาก,21-10-2021 15:33:00,5,true
M00075,P00020,moss,ดีมาก,21-10-2021 15:33:25,4,true
M00076,P00042,nax,อร่อยมาก,21-10-2021 15:34:15,5,true
M00077,P00030,nax,สั่งยากมาก,21-10-2021 15:34:38,4,true
M00078,P00028,nax,ใช้ดี,21-10-2021 15:34:47,5,true
M00079,P00026,nax,ได้แล้ว สุดยอด,21-10-2021 15:35:04,5,true
M00080,P00024,nax,ดีมากๆ,21-10-2021 15:35:16,5,true
M00081,P00022,nax,ส่งช้า,21-10-2021 15:35:31,3,true
M00082,P00021,nax,แพงมาก,21-10-2021 15:35:44,3,true
M00083,P00025,nax,สวยมากกก,21-10-2021 15:35:54,5,true
